,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Outlier,Latitude,Longitude,Address,City,State,ZipCode
2188,24646,2015,Nonresidential COS,Other,Southwest Community Center,Delridge,1975,1.0,2.0,27227,0,27227,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Other - Technology/Science, Pre-school/Daycare, Swimming Pool",Other - Recreation,29064.0,Fitness Center/Health Club/Gym,8508.0,Pre-school/Daycare,715.0,,,198.3,359.0,7801590.0,0.0,2836628.0,4965080.0,0.0,283.47,9.96,, 47.52788744, -122.3690121, 2801 Sw Thistle St, Seattle, WA,98126
2166,24646,2016,Nonresidential COS,Other,Southwest Teen Life Center And Pool,Delridge,1975,1.0,2.0,27227,0,27227,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Other - Technology/Science, Pre-school/Daycare, Swimming Pool",Other - Recreation,29064.0,Fitness Center/Health Club/Gym,8508.0,Pre-school/Daycare,715.0,,,204.8000031,377.2999878,8054334.0,0.0,3053337.0,5000997.0,0.0,286.89,10.54,,47.52801,-122.36918,2801 Thistle St,Seattle,WA,98106
2189,24649,2015,NonResidential,Mixed Use Property,Crown Hill Elementary Center,Ballard,1926,1.0,1.0,42172,0,42172,"Food Service, Other, Other - Education, Other - Entertainment/Public Assembly, Other - Recreation, Social/Meeting Hall",Other - Education,12000.0,Other - Entertainment/Public Assembly,11400.0,Social/Meeting Hall,9100.0,,,84.7,112.8,3590408.0,0.0,484017.0,3106411.0,0.0,168.36,3.94,, 47.69733391, -122.3736216, 9490 14Th Ave Nw, Seattle, WA,98117
2167,24649,2016,NonResidential,Mixed Use Property,Crown Hill Center,Ballard,1926,1.0,1.0,42172,0,42172,"Food Service, Other, Other - Education, Other - Entertainment/Public Assembly, Other - Recreation, Social/Meeting Hall",Other - Education,12000.0,Other - Entertainment/Public Assembly,11400.0,Social/Meeting Hall,9100.0,,,77.30000305,104.5,3275779.25,0.0,473305.0,2802474.0,0.0,152.14,3.61,,47.69766,-122.37346,9250 14Th Ave Nw,Seattle,WA,98117
2191,24653,2015,NonResidential,Retail Store,Greenwood Shopping Center,Northwest,1953,1.0,1.0,51000,0,51000,Retail Store,Retail Store,51000.0,,,,,,94.0,26.4,78.6,1348717.0,0.0,1240622.0,108146.0,0.0,14.39,0.18,, 47.6911139, -122.3571658, 100 N 85Th St, Seattle, WA,98103
2170,24653,2016,NonResidential,Retail Store,(Id24653) Greenwood Shopping Center,Northwest,1953,1.0,1.0,51000,0,51000,Retail Store,Retail Store,51000.0,,,,,,95.0,25.5,75.40000153,1298039.875,0.0,1187021.0,111019.0,0.0,14.17,0.28,,47.69061,-122.35731,100 N 85Th St,Seattle,WA,98103
2203,24700,2015,NonResidential,Mixed Use Property,Juke Box City,Greater Duwamish,1916,1.0,1.0,27000,0,27000,"Other, Other - Entertainment/Public Assembly, Self-Storage Facility",Other,9000.0,Other - Entertainment/Public Assembly,9000.0,Self-Storage Facility,9000.0,,,9.6,30.0,257953.0,0.0,257964.0,0.0,0.0,1.8,0.03,, 47.58452988, -122.33369446, 1950 1St Ave S, Seattle, WA,98134
2182,24700,2016,NonResidential,Mixed Use Property,Jukeboxcity Building,Greater Duwamish,1916,1.0,1.0,27000,0,27000,"Other, Other - Entertainment/Public Assembly, Self-Storage Facility",Other,9000.0,Other - Entertainment/Public Assembly,9000.0,Self-Storage Facility,9000.0,,,8.5,26.70000076,229856.4063,0.0,229857.0,0.0,0.0,1.6,0.06,,47.58452,-122.3337,1946-1952 1St Ave S,Seattle,WA,98134
2204,24701,2015,NonResidential,Other,Showbox Sodo,Greater Duwamish,1935,1.0,2.0,20747,0,20747,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,11815.0,Restaurant,5120.0,Office,3812.0,,,51.5,139.4,1067793.0,0.0,847246.0,220582.0,0.0,17.62,0.67,, 47.58784751, -122.3336846, 1700 1St Ave S, Seattle, WA,98134
2183,24701,2016,NonResidential,Other,(Id24701) Showbox Sodo,Greater Duwamish,1935,1.0,2.0,20747,0,20747,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,11815.0,Restaurant,5120.0,Office,3812.0,,,48.29999924,128.8000031,1001964.0,0.0,775118.0,226846.0,0.0,17.45,0.84,,47.58787,-122.33365,1700 1St Ave S,Seattle,WA,98134
2205,24705,2015,NonResidential,Non-Refrigerated Warehouse,Budget Sales,Greater Duwamish,1928,1.0,2.0,40800,0,40800,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,36000.0,Office,4800.0,,,,,18.3,36.9,744615.0,0.0,345845.0,398784.0,0.0,23.59,0.54,, 47.58896809, -122.3336733, 1534 1St Ave S, Seattle, WA,98134
2184,24705,2016,NonResidential,Warehouse,(Id24705) Budget Sales- 1534 1St Ave S,Greater Duwamish,1928,1.0,2.0,40800,0,40800,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,36000.0,Office,4800.0,,,,,20.0,38.29999924,817255.875,0.0,337487.0,479769.0,0.0,27.83,0.68,,47.58903,-122.33361,1534 1St Ave S,Seattle,WA,98101
2206,24708,2015,NonResidential,Small- and Mid-Sized Office,820 / Ofc/Whse Bldg,Greater Duwamish,1920,1.0,2.0,20150,0,20150,Office,Office,20150.0,,,,,,81.0,28.4,89.1,571644.0,0.0,571667.0,0.0,0.0,3.99,0.08,, 47.59507101, -122.3337217, 820 1St Ave S, Seattle, WA,98134
2185,24708,2016,NonResidential,Small- and Mid-Sized Office,820,Greater Duwamish,1920,1.0,2.0,20150,0,20150,Office,Office,20150.0,,,,,,80.0,28.60000038,89.80000305,576174.125,0.0,576174.0,0.0,0.0,4.02,0.2,,47.59508,-122.33378,820 1St Ave S,Seattle,WA,98134
