,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),Outlier,Latitude,Longitude,Address,City,State,ZipCode,AgeofBuilding,MeanBuildingGFA,MeanFloorGFA,BuildingGFApct,ParkingGFApct
2667,26528,2016,NonResidential,Small- and Mid-Sized Office,4701 University Way Bldg,Northeast,1.0,1.0,27966,Office,,58.0,1100499.75,7.67,,47.66345,-122.3134,4701 University Way Ne,Seattle,WA,98105,59,27966.0,27966.0,0.74955302867768,0.25044697132231997
2701,26529,2015,NonResidential,Supermarket/Grocery Store,Safeway Store # 3091,Northeast,1.0,1.0,26226,Supermarket/Grocery Store,,39.0,7492939.0,148.25,, 47.66430287, -122.3139022, 4732 Brooklyn Ave Ne, Seattle, WA,98105,65,26226.0,26226.0,1.0,0.0
2668,26529,2016,NonResidential,Supermarket/Grocery Store,Safeway 3091 - Brooklyn Ave,Northeast,1.0,1.0,26226,Supermarket/Grocery Store,,37.0,7588060.5,156.18,,47.66429,-122.31389,4732 Brooklyn Ave Ne,Seattle,WA,98105,66,26226.0,26226.0,1.0,0.0
2703,26532,2015,NonResidential,Retail Store,Kalberg Building,Northeast,1.0,2.0,20760,,,,950078.0,6.62,, 47.66162977, -122.31317081, 4515 University Way Ne, Seattle, WA,98105,87,20760.0,10380.0,1.0,0.0
2704,26535,2015,NonResidential,Mixed Use Property,Key Bank,Northeast,1.0,2.0,34948,Bank Branch,,22.0,1100575.0,7.67,, 47.66174555, -122.3139463, 1300 Ne 45Th St, Seattle, WA,98105,39,34948.0,17474.0,0.5491873640837817,0.4508126359162184
2671,26535,2016,NonResidential,Mixed Use Property,2967-University District,Northeast,1.0,2.0,34948,Bank Branch,,17.0,1159807.125,8.09,,47.6616,-122.31393,1300 N.E. 45Th Street,Seattle,WA,98105,40,34948.0,17474.0,0.5491873640837817,0.4508126359162184
2712,26587,2015,NonResidential,Small- and Mid-Sized Office,Office Building,Lake Union,1.0,3.0,37639,Office,,,5689125.0,39.67,High Outlier, 47.63415909, -122.32641602, 1600 Fairview Ave E, Seattle, WA,98102,17,37639.0,12546.333333333334,0.734344695661415,0.265655304338585
2680,26587,2016,NonResidential,Small- and Mid-Sized Office,1600 Fairview,Lake Union,1.0,3.0,37639,Office,,,6197824.5,43.21,,47.6342,-122.32661,1600 Fairview Ave E,Seattle,WA,98102,18,37639.0,12546.333333333334,0.734344695661415,0.265655304338585
2714,26593,2015,NonResidential,Small- and Mid-Sized Office,Del Mar Building (Hotel Del Mar Building),Downtown,1.0,4.0,22840,Office,,61.0,918514.0,6.4,, 47.60102844, -122.33378601, 108 S Washington St, Seattle, WA,98104,115,22840.0,5710.0,1.0,0.0
2715,26594,2015,NonResidential,Other,107 Occidental Ave S Retail,Downtown,1.0,1.0,21420,Museum,,,869835.0,9.15,, 47.60130092, -122.3332663, 107 Occidental Ave S, Seattle, WA,98104,115,21420.0,21420.0,1.0,0.0
2683,26594,2016,NonResidential,Other,107 Occidental Ave S,Downtown,1.0,1.0,21420,Museum,,,810636.875,9.72,,47.60135,-122.33327,107 Occidental Ave S,Seattle,WA,98104,116,21420.0,21420.0,1.0,0.0
2716,26596,2015,NonResidential,Mixed Use Property,Retail Building,Downtown,1.0,1.0,20880,,,,2078370.0,58.69,, 47.60109329, -122.33197021, 164 S Washington St, Seattle, WA,98104,115,20880.0,20880.0,1.0,0.0
2684,26596,2016,NonResidential,Small- and Mid-Sized Office,W0164 Washington Building,Downtown,1.0,1.0,20880,Office,,94.0,683274.0,4.76,,47.6011,-122.33197,164 S Washington  St,Seattle,WA,98104,116,20880.0,20880.0,1.0,0.0
2718,26600,2015,NonResidential,Mixed Use Property,Cadillac Hotel/Historical Society,Downtown,1.0,3.0,26000,Office,,,1677877.0,53.79,, 47.59937286, -122.33197784, 319 2Nd Ave S, Seattle, WA,98104,49,26000.0,8666.666666666666,1.0,0.0
2686,26600,2016,NonResidential,Mixed Use Property,Cadillac Hotel,Downtown,1.0,3.0,26000,Office,,,1063035.875,18.62,,47.59938,-122.33197,319 2Nd Avenue South,Seattle,WA,98104,50,26000.0,8666.666666666666,1.0,0.0
2719,26601,2015,NonResidential,Small- and Mid-Sized Office,Duncan Building,Downtown,1.0,3.0,38675,Office,,,1826107.0,39.75,, 47.59962112, -122.3319781, 315 2Nd Ave S, Seattle, WA,98104,115,38675.0,12891.666666666666,1.0,0.0
2687,26601,2016,NonResidential,Small- and Mid-Sized Office,Duncan Building,Downtown,1.0,3.0,38675,Office,,,1938776.75,43.91,,47.59954,-122.33201,315 2Nd Avenue South,Seattle,WA,98104,116,38675.0,12891.666666666666,1.0,0.0
2720,26602,2015,Nonresidential COS,Small- and Mid-Sized Office,Fire Headquarters,Downtown,1.0,4.0,49951,Office,,,4565085.0,154.13,, 47.59977467, -122.33164653, 301 2Nd Ave S, Seattle, WA,98104,86,49951.0,12487.75,1.0,0.0
2688,26602,2016,Nonresidential COS,Small- and Mid-Sized Office,Fire Headquarters,Downtown,1.0,4.0,49951,Office,,,5134446.0,185.33,,47.59986,-122.33195,301 2Nd Ave S (401 Yesler Way),Seattle,WA,98104,87,49951.0,12487.75,1.0,0.0
